区域ID,区域,样品ID,纬度,经度,LOC PREC,SR87_SR86,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204
4,SWIR,POLANT4-4-004-101,-52.1,14.12,0.01,0.70368,0.512852,19.564,15.649,39.157
4,SWIR,LEROBOU-WJM-002B,-54.5,3.4,1,0.7037,0.512865,19.479,15.65,39.086
4,SWIR,LEROBOU-WJM-016B,-54.5,3.4,1,0.70376,0.512861,19.418,15.631,39.05
4,SWIR,POLANT4-4-003-014,-53.12,14.5,0.01,0.70352,0.512837,19.254,15.642,39.305
4,SWIR,POLANT4-4-002-001,-52.22,14.63,0.01,0.70338,0.512876,19.243,15.632,39.315
3,SEIR,AAR2011-RC16,-60.2184,151.835,0.00001,0.702841,0.513033,19.1449,15.5588,38.8283
3,SEIR,MELBMRG-6-R044B,-37.721,77.825,0.001,0.70381,0.51284,19.139,15.618,39.472
4,SWIR,AGU0022-001-001,-52.293,16.91,0.001,0.70248,0.513056,19.045,15.557,38.554
3,SEIR,VEM0033-1-003-004,-50.417,135.09,0.001,0.70257,0.513074,18.998,15.613,38.468
4,SWIR,AGU0022-003-004,-52.294,18.046,0.001,0.70267,0.513048,18.968,15.551,38.767
3,SEIR,VEM0033-1-002-019,-50.267,132.55,0.001,0.70261,0.513058,18.911,15.514,38.319
4,SWIR,POLANT4-4-006-001,-52.33,13.15,0.01,0.70309,0.512951,18.867,15.572,38.822
3,SEIR,VEM0033-1-004-001,-50.215,137.555,0.001,0.70253,0.513139,18.82,15.506,38.166
3,SEIR,VEM0033-1-001-002,-50.408,131.005,0.001,0.70264,0.513123,18.805,15.499,38.262
3,SEIR,MOA8801-016-012,-50.163,127.577,0.001,0.70258,0.513064,18.798,15.504,38.291
4,SWIR,POLANT4-4-005-036,-52.28,13.68,0.01,0.70292,0.51302,18.769,15.56,38.623
3,SEIR,VEM0033-1-001,-50.408,131.005,0.001,0.70261,0.51305,18.75,15.49,38.19
3,SEIR,VEM0033-1-001-G,-50.408,131.005,0.001,0.70261,0.51305,18.75,15.49,38.19
4,SWIR,POLANT4-4-006-002,-52.33,13.15,0.01,0.7029,0.513004,18.741,15.551,38.541
3,SEIR,CHRHYAM-003-003,-37.52,78.43,0.01,0.70411,0.512822,18.738,15.576,39.009
3,SEIR,MOA8801-016-001,-50.163,127.577,0.001,0.70251,0.513088,18.717,15.466,38.153
3,SEIR,CHRHYAM-STPAUL,-38.7,77.5,0.01,0.70363,0.512925,18.696,15.58,38.802
4,SWIR,DY0115-020-005-014-1,-37.6579,50.4671,0.0001,0.703358,0.512869,18.664,15.65,38.722
3,SEIR,MOA8801-013-047,-50.147,128.015,0.001,0.70258,0.513076,18.656,15.485,38.136
3,SEIR,MELBMRG-6-SP1A,-38.72,77.55,0.01,0.7036,0.51289,18.651,15.558,38.842
3,SEIR,MOA8801-004-002,-48.763,127.36,0.001,0.70248,0.513092,18.649,15.491,38.154
3,SEIR,MOA8801-007-001,-49.227,127.657,0.001,0.702602,0.513048,18.633,15.496,38.22
3,SEIR,MOA8801-017-026,-50.222,127.417,0.001,0.70254,0.513054,18.63,15.475,38.099
3,SEIR,VEM0033-1-006-001,-50.3,130.417,0.001,0.70259,0.513102,18.617,15.48,38.095
3,SEIR,MOA8801-020-001,-49.522,127.593,0.001,0.70259,0.513067,18.609,15.49,38.18
4,SWIR,DY0115-020-003-012,-37.66,50.47,0.01,0.703307,0.513002,18.586,15.57,38.601
4,SWIR,MELPROT-5-009-007,-52.58,26.335,0.001,0.70373,0.513005,18.576,15.592,38.482
4,SWIR,DY0115-020-005-012,-37.66,50.47,0.0001,0.703448,0.512976,18.574,15.595,38.571
3,SEIR,VEM0033-1-005-005,-48.738,127.08,0.001,0.70255,0.513118,18.572,15.482,38.097
4,SWIR,AGU0032-003-099,-54.12,1.97,0.01,0.703088,0.513059,18.565,15.555,38.311
3,SEIR,AAR2011-RC02,-59.9866,152.865,0.00001,0.702528,0.513133,18.5549,15.6344,38.3841
3,SEIR,MELBMRG-6-R045B,-37.716,77.832,0.001,0.70456,0.51279,18.554,15.586,39.036
4,SWIR,AGU0032-002-003,-54.37,1.2,0.01,0.703479,0.512953,18.552,15.581,38.496
3,SEIR,AAR2011-RC15A,-60.1538,152.167,0.00001,0.702674,0.51312,18.539,15.5095,38.1964
3,SEIR,MELWEST-10-048WC,-46.09,95.93,0.01,0.70309,0.512963,18.494,15.519,38.25
3,SEIR,AAR2011-RC13,-59.9636,153.049,0.00001,0.702662,0.513099,18.4627,15.5176,38.0964
3,SEIR,CHRHYAM-005-001,-34.96,78.54,0.01,0.70321,0.512963,18.431,15.551,38.396
4,SWIR,DUF0125-017-001-003,-43.89,40.8,0.01,0.702929,0.513005,18.4263,15.5262,38.1701
4,SWIR,AGU0022-009-002,-53.158,22.83,0.001,0.70256,0.513101,18.418,15.492,37.965
4,SWIR,AGU0022-008-001,-53.41,24.76,0.01,0.70268,0.513082,18.417,15.5,38.012
4,SWIR,AGU0032-004-111,-54.03,2.13,0.01,0.703452,0.512965,18.416,15.572,38.459
