区域,SAMPLE ID,LATITUDE,LONGITUDE,LOC PREC,SR87_SR86,ΔSr,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,7NRHL,8NRHL,Δ7/4,Δ8/4,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,HE3_HE4_R_RA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,YB,LU,BA,NB,PB,RB,SR,TH,U,Y,ZR
SWIR,DUF0125-013-001-002,-43.41,39.98,0.01,0.704769,47.69,0.512607,16.585,15.3599,36.8753,15.288814,35.678265,7.1086,119.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0034-005,-43.893,40.653,0.001,0.7047,47,0.512448,16.959,15.504,37.32,15.3293556,36.130431,17.46444,118.9569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,MELPROT-5-028-146,-43.377,39.852,0.001,0.70458,45.8,0.512694,17.097,15.418,37.288,15.3443148,36.297273,7.36852,99.0727,,,,,,,,,,,,,,,,,,7.204,2.417,,,,,,,,,,,,2.61,155.9,,,,
SWIR,DUF0125-015-002-005,-43.43,40.21,0.01,0.703905,39.05,0.512861,17.1577,15.4302,37.3632,15.35089468,36.3706593,7.930532,99.25407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,ANS0018-060-001,-54.42,-1.36,0.01,0.71209,120.9,0.511663,17.188,15.701,38.766,15.3541792,36.407292,34.68208,235.8708,57.28,1.14,14.89,,,7.95,,,8.45,6.8,3.2,0.04,0.1,,1.1,4.5,,9,3.6,1.2,3.6,,2.8,0.52,1.3,1.06,0.15,9,1.01,0.91,0.62,143,0.077,0.017,15.3,68
SWIR,DUF0125-016-003-003,-43.43,40.21,0.01,0.703863,38.63,0.512863,17.2033,15.4382,37.4102,15.35583772,36.4257897,8.236228,98.44103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0125-010-003,-43.36,39.69,0.01,0.70393,39.3,0.51287,17.2434,15.4496,37.4273,15.36018456,36.4742706,8.941544,95.30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0125-014-001-004,-43.4,40.1,0.01,0.703718,37.18,0.512871,17.2738,15.4427,37.4116,15.36347992,36.5110242,7.922008,90.05758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AII0093-6-010-003,-24.98,70.012,0.001,0.70304,30.4,0.51307,17.307,15.531,37.214,15.3670788,36.551163,16.39212,66.2837,52.17,1.35,14.91,,,,9.09,0.18,8.17,11.24,2.73,0.09,,,,,,,,,,,,,,,,8.49,,,0.701,98.8,,,,
SWIR,AII0093-5-005,-24.98,69.99,0.01,0.70303,30.3,0.513072,17.315,15.443,37.251,15.367946,36.560835,7.5054,69.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.703035,30.35,0.513083,17.325,15.456,37.287,15.36903,36.572925,8.697,71.4075,,,,,,,,,,,,,,,2.8,9.12,1.7,9.08,3.28,1.23,4.72,,5.7,1.26,3.57,3.33,,8.82,,0.514,0.7,99.4,,0.034,32.6,86.6
SWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.70304,30.4,0.513083,17.325,15.456,37.287,15.36903,36.572925,8.697,71.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0023-003-001,-25.385,70.064,0.001,0.703135,31.35,0.513059,17.334,15.46,37.36,15.3700056,36.583806,8.99944,77.6194,,,,,,,,,,,,,,,0.753,3.05,,4.02,1.67,0.68,2.56,,3.18,,2,1.86,,,,,0.11,57,,,,
SWIR,DUF0107-041-001-001,-30.92,59.16,0.01,0.702824,28.24,0.513157,17.3631,15.3923,37.0698,15.37316004,36.6189879,1.913996,45.08121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0107-035,-30.52,59.91,0.01,0.702911,29.11,0.513118,17.4018,15.4006,37.1097,15.37735512,36.6657762,2.324488,44.39238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0107-042,-31.038,59.121,0.001,0.702723,27.23,0.513143,17.404,15.398,37.0847,15.3775936,36.668436,2.04064,41.6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
